Id,text
110,"@dankguyjeff @TypeForVictory How is 'order it 10 years ago' 'ready to go', but somehow nuclear takes.too long to be an option? Also I'm pretty sure your numbers are wrong but if not then installing enough renewable to provide for less than 1% of the UK's electricity demand isn't very impressive."
111,"RT @realKunalAShah: @Jkylebass You can also see the surreal expansion in nuclear, and renewable capacity - it????????â¬???????s unprecedented and it????????â¬???????s all????????â¬???????"
112,"???????????????????????? ""Germany leads an 11-EU member states statement saying that the Swedish EU presidency should stop listening to France, who is blocking the renewable energy directive due to the absence of support for nuclear energy in it."" @POLITICOEurope"
113,"@pwrhungry You are very optimistic. When Sec. Granholm was Gov. Granholm, she proposed and signed the Michigan Renewable Portfolio Standard that wound up closing the Palisades Nuclear Plant. She ignored pleas to keep it open, allowed it to close and then ????????????â¬????????????? at energy price spikes. 

She????????â¬??????? https://t.co/vg1PRms3w4"
114,"@breadandposes Again, I'm not really interested in the nuclear v. renewable 'debate' but this seems like an odd argument when one of the few positive trends at the moment is the incredibly fast growth of renewables https://t.co/5BaGrzhWy0"
115,"RT @SiOldridge: @dorfman_p Yes, baseload is just completely the wrong concept. The science shows we can get to a 100% renewable power syste????????â¬???????"
116,@TheRapistGroper Environmentalists will sooner create renewable rupe goldberg machines than acknowledge nuclear energy as a renewable energy source
117,"@AlexEpstein The irony!  What did Texas, an oil &amp; gas rich state, invest in to expand their electricity grid?  More fossil fuel power plants?  More nuclear plants?  Nope.  Wind and solar power, because it's cheaper!

https://t.co/S3mLOTfSLv

https://t.co/hQufmWkfJN

https://t.co/KcagpgDuvM"
118,"@acranberg @bmbrigham @AlexEpstein @heik_energy Plus, wind and solar power supported the Texas ERCOT grid during a recent Global Warming Driven heat wave that swamped existing fossil fuel &amp; nuclear power suppliers!

https://t.co/mn2049vLiM"
119,"5. The financial and technological resources allocated to nuclear weapons could be better utilized to address urgent global issues such as poverty, hunger, access to clean water, and renewable energy."
120,"@nickhedley The day that these incompetent assholes stop trying to cut a personal deal for every single power deal, is the day that renewable energy will see the light of day. There is no problem using a mix of all types of power, because sun, wind, water and Nuclear have benefits."
121,@Keir_Starmer Nuclear power is not renewable and the waste is dangerous for thousands of years.
122,"RT @SayNo2SizewellC: ""History will remember those who stubbornly continued to promote nuclear power as a cabal who jammed a rusty radioacti????????â¬???????"
123,@staylorish Denmark [pre ukraine] found out quickly that when they need to import power from Germany [pre wind down of their nuclear] at times when their renewable [mainly wind] couldn????????â¬???????t deliver they were charged a premium. When they had excess power they had to sell at a discount.
124,"@CarolineLucas @RichardJMurphy Those are valid criticisms, but we need a solid baseline power supply that can underpin the vagaries  of wind and solar output. Nuclear has been grossly under developed, due to fear mongering and unfair risk aversion. Baseline nuclear and majority renewable seems sensible."
125,"""History will remember those who stubbornly continued to promote nuclear power as a cabal who jammed a rusty radioactive spoke into the renewable energy wheel &amp; called it a tune-up To deliberately impede and delay progress at a time of climate crisis...1/2 https://t.co/bn5Q3wtDky"
126,"@Jord12115084 Depends on how you scope it of course ???? Both hydro and nuclear are green (no direct emissions) but are often not included in the ""renewable"" or ""green"" category, while biomass, which has horrible emissions, is ????????????â¬?????????????"
127,"@nuclearzak Let's make a larger generalization - renewable energy sources are not designed to produce energy on demand.
They need help.
Why do so many RE advocates push back so hard when nuclear advocates say we can help?"
128,"@kevindkillough 1/ There are many, many ways the numbers are gamed.  True first cost and install #'s, maintenance cost, running the real grid (gas, nuclear, coal) extremely in efficiently, the cost of which should be borne by renewable sector; having to put $B's into synch condensers"
129,"RT @MuffiWilliam: Wind Solar Water and Storage are the safest path forward.????????

?????? Nuclear Waste and accidents are so dangerous to the local????????â¬???????"
130,"RT @Keir_Starmer: With Labour, home-grown renewable and nuclear energy will drive growth across Britain.

Labour????????â¬???????s plan will boost energy s????????â¬???????"
131,@wombat_ee @TheArisen01 Renewables are a misallocation of resources. Net zero will require almost 100% nuclear backup of renewable capacity. If so why waste time and money on renewables? Personally I think net zero is stupid but that's another argument.
132,"Doing a full year long course on Renewable Energies,
I will just be missing the nuclear experience at this point"
133,"RT @TheGreenParty: ???? ""Nuclear is not going to help us out in this climate emergency.""

@carla_denyer speaks to the BBC about the need to in????????â¬???????"
134,"RT @Leigh_Phillips: Let????????â¬???????s look at the results: (the greener, the less carbon intensive the grid; the browner the opposite) All those green????????â¬???????"
135,"RT @TVAnews: The Watts Bar Nuclear Plant team wrapped up their unit 1 spring outage last month, completing 11,000 work activities! This har????????â¬???????"
136,"Let????????â¬???????s look at the results: (the greener, the less carbon intensive the grid; the browner the opposite) All those green bits primarily depend upon hydro, nuclear or some combination of the two (yes, including DK, which piggybacks off others????????â¬??????? firm supply) https://t.co/rQoJxqMBFY https://t.co/UVbiiOtC8l"
137,"The Watts Bar Nuclear Plant team wrapped up their unit 1 spring outage last month, completing 11,000 work activities! This hard work from our team returned the unit to its full generating capacity supplying carbon-free energy for 650,000 homes and businesses. #NuclearEnergy https://t.co/axL4b6vno3"
138,"RT @Leigh_Phillips: This is actually a rare Starmer win.

The truth is that France????????â¬???????s publicly built nuclear fleet (1979-88) experienced the????????â¬???????"
139,"This is actually a rare Starmer win.

The truth is that France????????â¬???????s publicly built nuclear fleet (1979-88) experienced the fastest decline in carbon intensity of energy in history; isn????????â¬???????t intermittent like Caroline????????â¬???????s wind &amp; solar; and enjoys some of the cheapest elec in EU. https://t.co/CByvzih1Xe"
140,"Hey hey, pssst! Want to know how to get safe, reliable, and zero carbon emissions power and steam production? Check out this article on Dow's Seadrift location being selected for the X-Energy Advanced SMR Nuclear Project. Click the link for all the deets: https://t.co/PfLE4jt9nV"""
141,"@IzzyDiggy @bryan_trades @historyinmemes Nuclear power plants on a proportional level, are safe and cause fewer human casualties (as well as less carbon footprint) than any other power source, including green tech"
142,RT @Stphn_42: @TheGreenParty @carla_denyer My opinion of Carla Denyer is falling. Opposing low carbon energy in a climate emergency is bad????????â¬???????
143,RT @AbidaRafiqueAni: Will commercial ships go nuclear in the near future? Interest is growing in using new reactor #technologies  to scale????????â¬???????
144,"The first new nuclear reactor built in the U.S. in more than 40 years is now up and running in Georgia.  The completion of Plant Vogtle Unit 3 is a major milestone not just for the long-delayed project itself, but for nuclear energy in the United States. 
https://t.co/7futMVHt8S"
145,"Will commercial ships go nuclear in the near future? Interest is growing in using new reactor #technologies  to scale back the maritime industry????????â¬???????s carbon footprint.
@zohaib24hdj @AsmaKhawaja5 @DrMFaisal @zafar_jaspal @SalmanAneel @adilsultan @CIMSEC @ForeignOfficePk https://t.co/XSTGjqPoDb"
146,"Dow's Seadrift, Texas Location Selected for X-Energy Advanced SMR Nuclear Project To Deliver Safe, Reliable, Zero Carbon Emissions Power and Steam Production: 3BL Media https://t.co/ChP0OY5w9b 

MORE w/ EcoSearch: https://t.co/wvCPxYYAv3"
147,"$DOW [15s. delayed]: Issued Press Release on June 06, 13:00:00: Dow????????â¬???????s Seadrift, Texas Location Selected for X-Energy Advanced SMR Nuclear Project To Deliver Safe, Reliable, Zero Carbon Emissions Power and Steam Production https://t.co/JlWxCESIVt"
148,"$the [15s. delayed]: Issued Press Release on June 06, 13:00:00: Dow????????â¬???????s Seadrift, Texas Location Selected for X-Energy Advanced SMR Nuclear Project To Deliver Safe, Reliable, Zero Carbon Emissions Power and Steam Production https://t.co/eSjqpXAmQF"
149,"$DOW Dow????????â¬???????s Seadrift, Texas Location Selected for X-Energy Advanced SMR Nuclear Project To Deliver Safe, Reliable, Zero Carbon Emissions Power and Steam Production

#trading #stocks
https://t.co/KlvYjN6yyK"
150,"The ""additionality"" principle requires that new, carbon-free sources be used to power H2 generation facilities.  (Note:  nuclear plant power uprates would qualify as new generation.)  4/16"
151,"To keep global warming below 2 degrees by 2050, at least 80% of global electricity generation must be shifted to these low carbon sources (Source: IEA). Are you surprised nuclear energy has the lowest lifecycle emissions? https://t.co/m6ozSEvNz7"
152,"Dow????????â¬???????s Seadrift, Texas Location Selected for X-Energy Advanced SMR Nuclear Project To Deliver Safe, Reliable, Zero Carbon Emissions Power and Steam Production https://t.co/lyTqjhwLfX https://t.co/yzJh1FEKfK"
153,"@adrianeaux I don't know of anyone who says 100% nuclear. What I meant to say that ""And no, I don't think post-carbon energy sources should be exclusively nuclear"" as opposed to ""nuclear above everything else"""
154,"in the meantime..

""Worldwide we need to double the amount of nuclear capacity, possibly  even triple it by 2050 in order to meet our net-zero carbon goals,????????â¬??????? U.S.  Assistant Secretary of Energy Kathryn Huff said"" 

https://t.co/v6uqeVhydL"
155,"@MarvolianJoe @TheGreenParty @carla_denyer The definition of green hydrogen is flawed, green hydrogen is produced by electrolysis using renewable energy only (renewable energy is not carbon neutral). So hydrogen produced using nuclear is not green hydrogen. You do realise blue MUST use carbon capture to offset production."
156,@dorfman_p @historyscoper Most of the comments in the article are so wrong that I have to wonder if this is satire. Baseload is a very well understood concept among utilities. The article also provides no facts and is risible. Nuclear is really the best way to reduce carbon emissions.
157,"""It is our responsibility to the world to produce carbon-free power, to reduce emissions."" - Julia Sharma, P.E. Nuclear Safety Analyst at @xenergynuclear.
Learn more about X-Energy's mission to meet the world's energy demands with advanced nuclear below ?????? https://t.co/DoB9JXn4bf"
158,@TomStDenis2 @calgarysun Except Quebec. I would like to know where this carbon tax is going as well. Nuclear seems to be the only option for a lot of provinces. Is this socialist government going to pay for those?
